feature,opinion,count,importance
decide,impossible,2,0.0
decide,begin,2,0.0
reason,sold,2,1.893
reason,ii,2,1.893
reason,loved,2,1.893
reason,brilliant,2,1.893
reason,bummer,2,0.7636
reason,best,2,0.7636
reason,buy,2,0.7636
reason,leaving,2,0.2182
reason,horrible,2,0.2182
reason,bad,2,0.2182
reason,entire,4,1.2728
reason,hidden,2,-1.222
reason,ai,2,-1.222
reason,worse,2,-1.222
reason,d2,2,-1.222
reason,dmg,2,-1.222
reason,provide,2,-1.222
reason,great,2,-1.222
reason,based,2,-1.222
reason,annoying,2,-1.222
reason,confusing,2,-1.222
reason,called,2,-1.222
reason,sound,2,-1.222
reason,locks,2,-1.222
reason,lengthy,2,-1.222
reason,punishes,2,-1.222
reason,switching,2,-1.222
reason,limited,2,-1.222
reason,mope,2,-0.5464
reason,wander,2,-0.5464
reason,stand,2,0.5692
reason,surprisingly,2,0.5692
reason,remember,4,1.1384
reason,dropping,2,1.436
reason,lower,2,1.436
reason,told,2,1.5496
reason,fun,2,1.5496
reason,addictive,2,1.5496
reason,online,2,1.1988
reason,add,2,1.1988
reason,shown,2,0.9176
reason,good,2,0.9176
reason,forced,2,0.9176
reason,legal,2,0.9176
reason,pull,2,0.9176
reason,paid,2,0.9176
reason,takes,2,0.9176
reason,new,2,0.9176
reason,pick,2,-1.0534
reason,cheap,2,-1.0534
reason,pay,2,-1.0534
reason,challenge,2,0.245
reason,real,4,-0.06120000000000003
reason,better,2,0.245
reason,gear,2,0.245
reason,schizophrenic,2,0.0
reason,generic,2,0.0
reason,laggy,2,-0.5168
reason,imagine,2,-0.3062
reason,tedious,2,-0.3558
gaming,sold,2,1.893
gaming,ii,2,1.893
gaming,loved,2,1.893
gaming,brilliant,2,1.893
gaming,worst,4,-2.5476
gaming,iii,2,-0.3558
gaming,largest,2,-0.3558
gaming,saved,2,-1.0046
gaming,ruined,2,-1.0046
gaming,joining,2,1.6442
gaming,biggest,2,0.0
gaming,hyped,2,0.0
gaming,financial,2,-0.9878
gaming,destroyed,2,-0.9878
gaming,wrong,2,1.2188
gaming,great,4,2.8328
gaming,comparing,2,1.2188
gaming,directly,2,1.2188
gaming,afraid,2,0.7636
gaming,advanced,2,0.6142
gaming,ridiculous,2,-0.7224
developers,ridiculous,2,0.592
developers,advertised,2,0.0
developers,consistently,2,0.0
developers,referred,2,0.0
developers,single,2,0.0
developers,deserves,2,0.0
developers,star,2,0.0
developers,polished,2,0.0
developers,functional,2,0.0
developers,triple,2,0.0
developers,biggest,2,0.0
developers,exclusively,2,-0.4046
developers,makes,2,-0.4046
developers,picking,2,-0.4046
developers,miniscule,2,-0.4046
developers,petty,2,-0.4046
developers,read,2,1.6094
sign,ridiculous,2,0.592
sign,online,2,1.2972
sign,net,2,1.2972
sign,bought,2,1.0846
sign,needs,2,1.0846
sign,create,2,1.0846
success,ridiculous,2,0.592
garbage,iii,2,0.0
garbage,gon,2,-1.0748
garbage,na,2,-1.0748
garbage,waste,2,-1.0748
garbage,frustrated,2,-1.0748
garbage,wasted,2,-1.0748
garbage,loved,2,0.7012
garbage,blows,2,0.7012
garbage,idiot,2,0.1032
garbage,online,2,0.1032
garbage,better,2,0.327
garbage,treat,2,0.327
iii,bought,2,1.1718
iii,ii,4,2.7228
iii,brilliant,2,1.1718
iii,decent,2,1.1718
iii,reviewed,2,0.592
iii,admit,2,0.592
iii,enamored,2,0.592
iii,started,2,0.4046
iii,top,2,0.4046
iii,feels,2,1.2738
iii,single,2,1.2738
iii,includes,2,0.8808
iii,minor,2,0.8808
iii,essentially,2,0.8808
iii,change,2,1.551
iii,profoundly,2,1.551
iii,disappoint,2,1.551
iii,enjoy,2,1.551
iii,mad,2,1.551
iii,slaughtering,2,1.551
iii,chasing,2,1.551
iii,better,2,1.551
iii,died,2,1.551
iii,ago,2,1.551
iii,intend,2,1.0046
iii,naturally,2,1.0046
iii,recommend,2,1.0046
iii,purchasing,2,1.0046
iii,academic,2,1.0046
iii,hyped,2,0.0
iii,cut,2,1.0804
iii,act,2,1.0804
iii,good,2,1.0804
iii,worth,2,0.5884
iii,wait,2,0.5884
iii,fails,2,-0.843
development,horribly,2,-1.85
development,disrespectful,2,-1.85
development,ridiculously,2,-1.85
development,bad,2,-1.85
development,drops,2,-1.85
development,repetitive,2,-1.85
development,boring,2,-1.85
development,terribly,2,-1.85
development,laggy,2,-1.85
development,succeed,6,-5.55
development,spending,2,-1.85
development,real,2,-1.85
development,appears,2,-0.9534
development,late,2,-0.9534
development,imagine,2,-0.9534
development,contributes,2,-0.9534
development,terrible,2,-0.9534
development,scaling,2,-0.9534
development,overjoyed,2,0.918
development,simplified,2,0.918
development,new,2,0.918
development,favorite,2,0.918
development,missed,2,1.6352
development,limiting,2,1.6352
development,secret,2,1.6352
development,fell,2,1.6352
development,short,2,1.6352
development,great,2,1.6352
development,easily,2,1.1718
development,disinterested,2,1.1718
development,linear,6,3.2244
development,fairly,2,1.1718
development,older,2,0.8808
development,better,2,0.8808
development,hardcore,2,1.1718
development,roleplaying,2,1.1718
development,total,2,1.1718
development,tied,2,1.5434
development,creative,2,1.5434
development,suggest,2,1.748
development,good,2,1.748
development,quicker,2,1.748
development,happy,2,1.748
development,buy,2,1.748
development,typical,2,-1.1794
team,horribly,2,-1.85
team,disrespectful,2,-1.85
team,ridiculously,2,-1.85
team,bad,2,-1.85
team,drops,2,-1.85
team,repetitive,2,-1.85
team,boring,2,-1.85
team,terribly,2,-1.85
team,laggy,2,-1.85
team,succeed,6,-5.55
team,spending,2,-1.85
team,real,2,-1.85
team,join,2,1.6884
team,random,2,1.6884
team,pretty,2,1.6884
team,cool,2,1.6884
team,disclaimer,2,1.6148
team,casual,2,1.6148
team,likes,2,1.6148
team,involved,2,1.6148
team,pvp,2,1.6148
team,implement,2,1.6148
team,based,2,1.6148
team,gearing,2,1.6148
team,best,2,1.6148
team,builds,2,1.6148
team,works,2,0.0
team,significantly,2,0.4526
team,harder,2,0.4526
item,horribly,2,-1.85
item,disrespectful,2,-1.85
item,ridiculously,4,-1.9788000000000001
item,bad,2,-1.85
item,drops,14,4.3344000000000005
item,repetitive,2,-1.85
item,boring,4,-3.4534
item,terribly,2,-1.85
item,laggy,4,-3.0176
item,succeed,6,-5.55
item,spending,2,-1.85
item,real,8,-2.7226
item,wow,2,0.062
item,flawed,2,0.062
item,forget,2,0.062
item,broken,2,0.062
item,d3,2,-0.592
item,check,2,-0.592
item,dropped,2,-0.592
item,drm,2,-1.1676
item,unreliable,2,-1.1676
item,hardcore,2,-1.1676
item,resolved,2,-1.1676
item,buy,4,-0.8118000000000001
item,ah,8,-4.7299999999999995
item,implemented,2,-1.1676
item,crafting,2,-1.1676
item,worthless,4,-2.7846
item,limited,4,-2.3352
item,inferno,6,-1.3518
item,reduced,2,-1.1676
item,build,2,-1.1676
item,minor,2,-1.1676
item,entire,2,-1.1676
item,pretty,4,0.6584000000000001
item,ranged,2,-1.1676
item,rare,2,-1.8392
item,set,4,-1.0774
item,legendary,8,-3.787
item,random,4,-1.8392
item,stats,2,-1.8392
item,wear,2,-1.8392
item,depending,2,-1.8392
item,holding,2,-1.8392
item,lame,2,-1.8392
item,worse,2,-1.8392
item,insane,2,-0.8704
item,plenty,2,1.826
item,short,2,1.826
item,fun,4,0.22260000000000013
item,easy,2,1.826
item,intuitive,2,1.826
item,good,10,2.9849999999999994
item,acting,2,1.826
item,shallow,2,1.826
item,terrible,4,3.652
item,awful,2,1.826
item,atrocious,2,1.826
item,offline,2,1.826
item,connected,2,1.826
item,impossible,2,1.826
item,casual,2,1.826
item,frustrating,2,1.826
item,special,2,1.826
item,involved,2,1.826
item,grinding,6,-1.3135999999999999
item,sets,2,1.826
item,extremely,2,1.826
item,narrow,2,1.826
item,addicted,2,0.7618
item,identify,2,0.7618
item,forced,2,-0.1288
item,cheaper,2,-0.1288
item,priced,2,-0.1288
item,hacking,2,-1.2272
item,feel,8,-2.4636
item,pour,2,-1.2272
item,stolen,2,-1.2272
item,spammable,2,-0.6824
item,occasionally,2,-0.6824
item,shiny,2,-0.6824
item,lose,6,-3.4425999999999997
item,redeem,2,-1.3194
item,earned,2,-1.3194
item,whopping,2,-0.8038
item,digital,2,-0.8038
item,unique,8,-0.1656
item,dependant,2,0.0
item,blue,4,0.0
item,gold,6,1.6182
item,orange,4,0.0
item,sell,2,0.3558
item,total,2,0.3558
item,hope,2,0.3558
item,possibly,2,0.3558
item,eventually,2,0.3558
item,upgarde,2,0.3558
item,place,2,1.0846
item,provide,2,1.0846
item,high,4,2.3584
item,pure,2,1.0846
item,dictate,2,0.8038
item,boost,2,0.8038
item,individual,2,0.8038
item,higher,2,0.8038
item,current,2,0.0
item,beginning,2,0.0
item,satisfying,2,1.6286
item,enjoy,4,-3.142
item,dying,2,-1.617
item,repeatedly,2,-1.617
item,fighting,2,-1.617
item,previously,4,-0.7362
item,receiving,2,-1.617
item,totally,4,-1.7826
item,save,2,1.5158
item,concentrates,2,1.6182
item,magic,2,1.6182
item,myriad,2,1.6182
item,bestowed,2,1.6182
item,added,2,0.0
item,wasted,2,0.1218
item,precious,2,0.1218
item,supplemental,2,0.1218
item,updated,2,0.68
item,unusual,2,1.2738
item,fresh,2,1.2738
item,generous,4,2.2544000000000004
item,single,2,1.0212
item,sit,2,1.0212
item,cancel,2,-0.5
item,wait,2,-0.5
item,multiple,2,1.4192
item,hardest,2,1.4192
item,boasting,2,1.4192
item,best,2,1.4192
item,new,2,-1.525
item,earning,2,-1.525
item,due,2,-1.525
item,poor,4,-3.1283999999999996
item,glance,2,0.8808
item,quickly,2,0.8808
item,toss,2,0.8808
item,rarely,2,0.8808
item,adding,2,-1.0212
item,disappear,2,-1.0212
item,takes,2,1.2332
item,loved,2,-1.6034
item,disappointed,2,-1.6034
item,based,2,-1.6034
item,garbage,2,-1.6146
item,spend,2,-1.6146
item,retarded,2,-1.6146
draw,horribly,2,-1.85
draw,disrespectful,2,-1.85
draw,ridiculously,2,-1.85
draw,bad,2,-1.85
draw,drops,2,-1.85
draw,repetitive,2,-1.85
draw,boring,2,-1.85
draw,terribly,2,-1.85
draw,laggy,2,-1.85
draw,succeed,6,-5.55
draw,spending,2,-1.85
draw,real,2,-1.85
servers,horribly,2,-1.85
servers,disrespectful,2,-1.85
servers,ridiculously,2,-1.85
servers,bad,4,-3.1984000000000004
servers,drops,2,-1.85
servers,repetitive,2,-1.85
servers,boring,2,-1.85
servers,terribly,2,-1.85
servers,laggy,4,-3.0176
servers,succeed,6,-5.55
servers,spending,2,-1.85
servers,real,4,0.007399999999999851
servers,spite,2,-1.8434
servers,terrible,4,-3.3644
servers,malfunctioning,2,-1.8434
servers,continued,2,-1.8434
servers,lag,4,-3.1406
servers,single,8,-2.859400000000001
servers,withheld,2,-1.8434
servers,beaten,2,-1.8434
servers,buy,4,-0.3638
servers,purely,2,-0.9152
servers,idiotic,2,-0.9152
servers,offline,2,-0.9152
servers,drm,2,-1.1676
servers,unreliable,2,-1.1676
servers,hardcore,2,-1.1676
servers,resolved,2,-1.1676
servers,ah,6,-3.5028
servers,implemented,2,-1.1676
servers,crafting,2,-1.1676
servers,worthless,2,-1.1676
servers,limited,4,-2.3352
servers,inferno,2,-1.1676
servers,reduced,2,-1.1676
servers,build,2,-1.1676
servers,minor,2,-1.1676
servers,entire,2,-1.1676
servers,pretty,2,-1.1676
servers,ranged,2,-1.1676
servers,stop,2,-0.592
servers,best,2,1.3816
servers,difference,2,1.3816
servers,realize,2,-1.521
servers,taking,2,-1.521
servers,poorly,2,-1.521
servers,written,2,-1.521
servers,suck,2,-1.2972
servers,online,8,-0.7384
servers,eliminated,2,1.8574
servers,3rd,2,1.8574
servers,potential,2,1.8574
servers,heavily,2,1.8574
servers,flooded,2,1.8574
servers,gained,2,1.8574
servers,intimate,2,1.8574
servers,encouraged,2,1.8574
servers,styled,2,1.8574
servers,drastically,2,1.8574
servers,manner,2,1.8574
servers,previous,4,2.4654
servers,severe,2,-1.5002
servers,ago,4,-0.8921999999999999
servers,crashed,2,-1.5002
servers,brought,2,-1.5002
servers,sad,2,-1.5002
servers,living,2,-1.5002
servers,recent,2,-1.5002
servers,huge,2,-1.5002
servers,connected,4,-0.3734
servers,visit,2,-0.3734
servers,stabilized,4,0.3134
servers,worse,2,-0.3558
servers,bought,2,0.6692
servers,heard,2,0.6692
servers,simplest,2,1.1438
servers,remember,2,0.608
servers,bother,4,1.3716
servers,testing,2,0.608
servers,actual,2,1.4368
servers,honest,4,2.2004
servers,understands,2,1.4368
servers,takes,2,1.4368
servers,running,4,2.2004
